Response,Age,Job,Marital Status,Education,balance,housing,loan
yes,30,technician,married,secondary,1019,yes,no
yes,39,selfemployed,divorced,secondary,103,no,yes
yes,59,retired,married,primary,1,no,no
yes,48,management,married,tertiary,4,no,no
yes,42,management,married,secondary,34,no,no
yes,30,services,single,primary,81,yes,no
yes,50,bluecollar,married,secondary,812,no,yes
yes,47,selfemployed,married,secondary,2,no,no
yes,35,bluecollar,single,secondary,947,yes,no
yes,31,management,divorced,tertiary,10,yes,yes
yes,29,technician,single,secondary,368,yes,no
no,58,management,married,tertiary,2143,yes,no
no,44,technician,single,secondary,29,yes,no
no,33,entrepreneur,married,secondary,2,yes,yes
no,47,bluecollar,married,unknown,1506,yes,no
no,33,unknown,single,unknown,1,no,no
no,35,management,married,tertiary,231,yes,no
no,28,management,single,tertiary,447,yes,yes
no,58,retired,married,primary,121,yes,no
no,43,technician,single,secondary,593,yes,no
no,41,admin,divorced,secondary,270,yes,no
no,29,admin,single,secondary,390,yes,no
no,53,technician,married,secondary,6,yes,no
no,58,technician,married,unknown,71,yes,no
no,57,services,married,secondary,162,yes,no
no,51,retired,married,primary,229,yes,no
no,45,admin,single,unknown,13,yes,no
no,57,bluecollar,married,primary,52,yes,no
no,60,retired,married,primary,60,yes,no
no,33,services,married,secondary,0,yes,no
no,28,bluecollar,married,secondary,723,yes,yes
no,56,management,married,tertiary,779,yes,no
no,32,bluecollar,single,primary,23,yes,yes
no,25,services,married,secondary,50,yes,no
no,40,retired,married,primary,0,yes,yes
no,44,admin,married,secondary,372,yes,no
no,39,management,single,tertiary,255,yes,no
no,52,entrepreneur,married,secondary,113,yes,yes
no,46,management,single,secondary,246,yes,no
no,36,technician,single,secondary,265,yes,yes
no,57,technician,married,secondary,839,no,yes
no,49,management,married,tertiary,378,yes,no
no,60,admin,married,secondary,39,yes,yes
no,59,bluecollar,married,secondary,0,yes,no
no,51,management,married,tertiary,10635,yes,no
no,57,technician,divorced,secondary,63,yes,no
no,25,bluecollar,married,secondary,7,yes,no
no,53,technician,married,secondary,3,no,no
no,36,admin,divorced,secondary,506,yes,no
no,37,admin,single,secondary,0,yes,no
no,44,services,divorced,secondary,2586,yes,no
no,50,management,married,secondary,49,yes,no
no,60,bluecollar,married,unknown,104,yes,no
no,54,retired,married,secondary,529,yes,no
no,58,retired,married,unknown,96,yes,no
no,36,admin,single,primary,171,yes,no
no,58,selfemployed,married,tertiary,364,yes,no
no,44,technician,married,secondary,0,yes,no
no,55,technician,divorced,secondary,0,no,no
no,29,management,single,tertiary,0,yes,no
no,54,bluecollar,married,secondary,1291,yes,no
no,48,management,divorced,tertiary,244,yes,no
no,32,management,married,tertiary,0,yes,no
no,42,admin,single,secondary,76,yes,no
no,24,technician,single,secondary,103,yes,yes
no,38,entrepreneur,single,tertiary,243,no,yes
no,38,management,single,tertiary,424,yes,no
no,47,bluecollar,married,unknown,306,yes,no
no,40,bluecollar,single,unknown,24,yes,no
no,46,services,married,primary,179,yes,no
no,32,admin,married,tertiary,0,yes,no
no,53,technician,divorced,secondary,989,yes,no
no,57,bluecollar,married,primary,249,yes,no
no,33,services,married,secondary,790,yes,no
no,49,bluecollar,married,unknown,154,yes,no
no,51,management,married,tertiary,6530,yes,no
no,60,retired,married,tertiary,100,no,no
no,59,management,divorced,tertiary,59,yes,no
no,55,technician,married,secondary,1205,yes,no
no,35,bluecollar,single,secondary,12223,yes,yes
no,57,bluecollar,married,secondary,5935,yes,yes
no,31,services,married,secondary,25,yes,yes
no,54,management,married,secondary,282,yes,yes
no,55,bluecollar,married,primary,23,yes,no
no,43,technician,married,secondary,1937,yes,no
no,53,technician,married,secondary,384,yes,no
no,44,bluecollar,married,secondary,582,no,yes
no,55,services,divorced,secondary,91,no,no
no,49,services,divorced,secondary,0,yes,yes
no,45,admin,single,secondary,206,yes,no
no,47,services,divorced,secondary,164,no,no
no,42,technician,single,secondary,690,yes,no
no,59,admin,married,secondary,2343,yes,no
no,46,selfemployed,married,tertiary,137,yes,yes
no,51,bluecollar,married,primary,173,yes,no
no,56,admin,married,secondary,45,no,no
no,41,technician,married,secondary,1270,yes,no
no,46,management,divorced,secondary,16,yes,yes
no,57,retired,married,secondary,486,yes,no
no,42,management,single,secondary,50,no,no
no,30,technician,married,secondary,152,yes,yes
no,60,admin,married,secondary,290,yes,no
no,60,bluecollar,married,unknown,54,yes,no
no,57,entrepreneur,divorced,secondary,37,no,no
no,36,management,married,tertiary,101,yes,yes
no,55,bluecollar,married,secondary,383,no,no
no,60,retired,married,tertiary,81,yes,no
no,39,technician,married,secondary,0,yes,no
no,46,management,married,tertiary,229,yes,no
no,44,bluecollar,married,secondary,674,yes,no
no,53,bluecollar,married,primary,90,no,no
no,52,bluecollar,married,primary,128,yes,no
no,59,bluecollar,married,primary,179,yes,no
no,27,technician,single,tertiary,0,yes,no
no,44,bluecollar,married,secondary,54,yes,no
no,47,technician,married,tertiary,151,yes,no
no,34,admin,married,secondary,61,no,yes
no,59,retired,single,secondary,30,yes,no
no,45,management,married,tertiary,523,yes,no
no,29,services,divorced,secondary,31,yes,no
no,46,technician,divorced,secondary,79,no,no
no,56,selfemployed,married,primary,34,yes,yes
no,36,bluecollar,married,primary,448,yes,no
no,59,retired,divorced,primary,81,yes,no
no,44,bluecollar,married,secondary,144,yes,no
no,41,admin,married,secondary,351,yes,no
no,33,management,single,tertiary,67,yes,no
no,59,management,divorced,tertiary,262,no,no
no,57,technician,married,primary,0,no,no
no,56,technician,divorced,unknown,56,yes,no
no,51,bluecollar,married,secondary,26,yes,no
no,34,admin,married,unknown,3,yes,no
no,43,services,married,secondary,41,yes,yes
no,52,technician,married,tertiary,7,no,yes
no,33,technician,single,secondary,105,yes,no
no,29,admin,single,secondary,818,yes,yes
no,34,services,married,secondary,16,yes,yes
no,31,bluecollar,married,secondary,0,yes,no
no,55,services,married,secondary,2476,yes,no
no,55,management,married,unknown,1185,no,no
no,32,admin,single,secondary,217,yes,no
no,38,technician,single,secondary,1685,yes,no
no,55,admin,single,secondary,802,yes,yes
no,28,unemployed,single,tertiary,0,yes,no
no,23,bluecollar,married,secondary,94,yes,no
no,32,technician,single,secondary,0,yes,no
no,43,services,single,unknown,0,no,no
no,32,bluecollar,married,secondary,517,yes,no
no,46,bluecollar,married,secondary,265,yes,no
no,53,housemaid,divorced,primary,947,yes,no
no,34,selfemployed,single,secondary,3,yes,no
no,57,unemployed,married,tertiary,42,no,no
no,37,bluecollar,married,secondary,37,yes,no
no,59,bluecollar,married,secondary,57,yes,no
no,33,services,married,secondary,22,yes,no
no,56,bluecollar,divorced,primary,8,yes,no
no,48,unemployed,married,secondary,293,yes,no
no,43,services,married,primary,3,yes,no
no,54,bluecollar,married,primary,348,yes,no
no,51,bluecollar,married,unknown,19,yes,no
no,26,student,single,secondary,0,yes,no
no,40,management,married,tertiary,4,yes,no
no,39,management,married,secondary,18,yes,no
no,50,technician,married,primary,139,no,no
no,41,services,married,secondary,0,yes,no
no,51,bluecollar,married,unknown,1883,yes,no
no,60,retired,divorced,secondary,216,yes,no
no,52,bluecollar,married,secondary,782,yes,no
no,48,bluecollar,married,secondary,904,yes,no
no,48,services,married,unknown,1705,yes,no
no,39,technician,single,tertiary,47,yes,no
no,47,services,single,secondary,176,yes,no
no,40,bluecollar,married,secondary,1225,yes,no
no,45,technician,married,secondary,86,yes,no
no,26,admin,single,secondary,82,yes,no
no,52,management,married,tertiary,271,yes,no
no,54,technician,married,secondary,1378,yes,no
no,54,admin,married,tertiary,184,no,no
no,50,bluecollar,married,primary,0,no,no
no,35,bluecollar,married,secondary,0,yes,no
no,44,services,married,secondary,1357,yes,yes
no,53,entrepreneur,married,unknown,19,yes,no
no,35,retired,single,primary,434,no,no
no,60,admin,divorced,secondary,92,yes,no
no,53,admin,divorced,secondary,1151,yes,no
no,48,unemployed,married,secondary,41,yes,no
no,34,technician,married,secondary,51,yes,no
no,54,services,married,secondary,214,yes,no
no,51,management,married,secondary,1161,yes,no
no,31,services,married,tertiary,37,yes,no
no,35,technician,divorced,secondary,787,yes,no
no,35,services,married,secondary,59,yes,no
no,38,technician,married,secondary,253,yes,no
no,36,admin,married,tertiary,211,yes,no
no,58,retired,married,primary,235,yes,no
no,40,services,divorced,unknown,4384,yes,no
no,54,management,married,secondary,4080,no,no
no,34,bluecollar,single,secondary,53,yes,yes
no,31,management,single,tertiary,0,yes,no
no,51,retired,married,secondary,2127,yes,no
no,33,management,married,tertiary,377,yes,no
no,55,management,married,tertiary,73,yes,no
no,42,admin,married,secondary,445,yes,no
no,34,bluecollar,married,secondary,243,yes,no
no,33,bluecollar,single,secondary,307,yes,no
no,38,services,married,secondary,155,yes,no
no,50,technician,divorced,tertiary,173,no,yes
no,43,management,married,tertiary,400,yes,no
no,61,bluecollar,divorced,primary,1428,yes,no
no,47,admin,married,secondary,219,yes,no
no,48,selfemployed,married,tertiary,7,yes,no
no,44,bluecollar,married,secondary,575,yes,no
no,35,student,single,unknown,298,yes,no
no,35,services,married,secondary,0,yes,no
no,50,services,married,secondary,5699,yes,no
no,41,management,married,tertiary,176,yes,yes
no,41,management,married,tertiary,517,yes,no
no,39,services,single,unknown,257,yes,no
no,42,retired,married,secondary,56,yes,no
no,38,bluecollar,married,secondary,390,yes,no
no,53,retired,married,secondary,330,yes,no
no,59,housemaid,divorced,primary,195,no,no
no,36,services,married,secondary,301,yes,no
no,54,bluecollar,married,primary,41,yes,no
no,40,technician,married,tertiary,483,yes,no
no,47,unknown,married,unknown,28,no,no
no,53,unemployed,married,unknown,13,no,no
no,46,housemaid,married,primary,965,no,no
no,39,management,married,tertiary,378,yes,yes
no,40,unemployed,married,secondary,219,yes,no
no,28,bluecollar,married,primary,324,yes,no
no,35,entrepreneur,divorced,secondary,69,yes,no
no,55,retired,married,secondary,0,no,yes
no,43,technician,divorced,unknown,205,yes,no
no,48,bluecollar,married,primary,278,yes,no
no,58,management,married,unknown,1065,yes,no
no,33,management,single,tertiary,34,yes,no
no,36,bluecollar,married,unknown,1033,no,no
no,53,services,divorced,secondary,1467,yes,no
no,47,bluecollar,married,primary,12,yes,no
no,31,services,married,secondary,388,yes,no
no,57,entrepreneur,married,secondary,294,yes,no
no,53,bluecollar,married,unknown,1827,no,no
no,55,bluecollar,married,primary,627,yes,no
no,45,bluecollar,married,primary,25,yes,no
no,53,admin,divorced,secondary,315,yes,no
no,37,bluecollar,married,primary,0,yes,no
no,44,admin,divorced,secondary,66,yes,no
no,49,bluecollar,divorced,primary,9,yes,yes
no,46,technician,married,secondary,349,yes,yes
no,43,entrepreneur,married,unknown,100,yes,no
no,38,admin,married,secondary,0,no,no
no,43,technician,married,secondary,434,yes,no
no,49,management,married,tertiary,3237,yes,no
no,42,management,married,unknown,275,no,no
no,22,bluecollar,single,secondary,0,yes,no
no,40,management,married,tertiary,207,yes,no
no,39,bluecollar,married,secondary,483,yes,no
no,51,services,married,secondary,2248,yes,no
no,49,admin,married,secondary,428,yes,no
no,53,bluecollar,married,secondary,0,yes,yes
no,34,services,single,secondary,0,yes,no
no,33,technician,divorced,secondary,140,yes,no
no,50,management,single,tertiary,297,yes,no
no,39,bluecollar,married,primary,279,yes,no
no,59,entrepreneur,divorced,secondary,901,yes,no
no,30,technician,single,secondary,2573,yes,no
no,36,services,married,secondary,143,yes,yes
no,40,bluecollar,married,secondary,475,yes,no
no,53,bluecollar,married,secondary,70,yes,no
no,34,management,single,tertiary,318,yes,no
no,37,technician,married,secondary,275,yes,no
no,42,management,divorced,tertiary,742,yes,no
no,41,entrepreneur,married,primary,236,yes,no
no,30,student,single,tertiary,25,yes,no
no,37,management,single,tertiary,600,yes,no
no,39,admin,divorced,secondary,349,yes,no
no,41,bluecollar,married,primary,183,yes,yes
no,40,bluecollar,married,primary,0,yes,no
no,42,management,single,tertiary,0,yes,yes
no,40,bluecollar,divorced,primary,0,yes,no
no,57,technician,married,secondary,1078,yes,no
no,56,entrepreneur,divorced,secondary,155,no,no
no,37,admin,married,secondary,190,yes,no
no,59,retired,married,secondary,319,yes,no
no,39,services,divorced,secondary,185,yes,no
no,49,services,married,secondary,47,no,no
no,38,services,single,secondary,570,yes,no
no,36,selfemployed,married,tertiary,19,no,no
no,50,bluecollar,married,primary,61,yes,no
no,41,admin,married,secondary,62,yes,yes
no,54,technician,married,tertiary,258,no,no
no,58,bluecollar,married,primary,76,yes,no
no,30,bluecollar,single,secondary,0,yes,no
no,33,admin,single,secondary,352,yes,no
no,47,admin,married,secondary,368,yes,no
no,50,technician,single,tertiary,339,yes,no
no,32,bluecollar,married,secondary,1331,yes,no
no,40,selfemployed,married,secondary,672,yes,no
no,37,management,married,tertiary,58,yes,no
no,54,technician,single,unknown,447,yes,no
no,24,student,single,secondary,423,yes,no
no,54,management,married,tertiary,0,no,no
no,34,technician,married,secondary,19,yes,no
no,56,technician,divorced,primary,13,yes,no
no,31,bluecollar,single,secondary,3,yes,no
no,24,student,single,secondary,82,yes,no
no,42,bluecollar,divorced,primary,28,yes,no
no,57,technician,married,secondary,792,yes,no
no,42,bluecollar,married,unknown,408,yes,no
no,51,admin,married,secondary,531,yes,no
no,57,retired,married,secondary,211,yes,no
no,36,services,single,secondary,62,yes,no
no,53,services,married,unknown,257,yes,no
no,50,technician,married,secondary,1234,yes,no
no,54,management,married,tertiary,313,yes,no
no,55,bluecollar,married,secondary,89,yes,no
no,44,bluecollar,married,secondary,129,yes,yes
no,43,management,married,unknown,0,yes,no
no,56,admin,married,secondary,353,yes,no
no,54,technician,married,unknown,851,yes,no
no,55,services,divorced,primary,96,yes,yes
no,37,services,divorced,secondary,398,yes,yes
no,33,admin,single,tertiary,193,no,no
no,46,admin,married,secondary,358,yes,no
no,36,bluecollar,married,secondary,539,yes,yes
no,51,technician,single,secondary,0,yes,no
no,40,retired,single,primary,0,no,no
no,42,bluecollar,married,secondary,490,yes,no
no,51,bluecollar,married,secondary,0,yes,no
no,49,bluecollar,married,unknown,403,yes,no
no,48,management,married,secondary,161,yes,no
no,32,technician,divorced,tertiary,2558,no,no
no,31,admin,single,secondary,98,yes,no
no,55,management,single,tertiary,115,no,no
no,40,bluecollar,single,secondary,436,yes,no
no,47,technician,married,tertiary,831,yes,no
no,57,technician,married,unknown,206,yes,no
no,41,bluecollar,married,secondary,290,yes,no
no,48,bluecollar,married,secondary,1,no,no
no,42,bluecollar,married,unknown,57,yes,no
no,30,bluecollar,single,secondary,457,yes,no
no,58,management,single,tertiary,1387,yes,no
no,45,management,divorced,tertiary,24598,yes,no
no,49,bluecollar,married,secondary,30,yes,no
no,42,admin,single,secondary,1022,yes,no
no,53,technician,married,secondary,56,yes,yes
no,32,services,single,secondary,121,yes,no
no,41,bluecollar,single,secondary,842,yes,no
no,43,management,divorced,secondary,693,yes,no
no,40,bluecollar,divorced,secondary,333,yes,no
no,50,bluecollar,married,primary,1533,yes,no
no,34,management,married,tertiary,46,yes,no
no,53,services,married,unknown,18,no,no
no,45,technician,married,secondary,44,yes,no
no,39,bluecollar,married,primary,100,yes,no
no,44,services,married,tertiary,510,yes,no
no,55,management,married,tertiary,685,yes,no
no,46,management,single,tertiary,187,yes,no
no,45,bluecollar,married,secondary,66,yes,no
no,34,admin,married,secondary,560,yes,no
no,36,bluecollar,married,secondary,0,yes,no
no,59,unknown,divorced,unknown,27,no,no
no,31,admin,single,secondary,12,yes,no
no,44,bluecollar,single,secondary,34,yes,no
no,33,entrepreneur,single,tertiary,1068,yes,no
no,40,bluecollar,married,secondary,211,yes,no
no,46,admin,single,tertiary,377,yes,no
no,48,management,married,tertiary,263,yes,no
yes,33,technician,married,secondary,72,yes,no
yes,33,bluecollar,single,secondary,60,no,no
yes,60,retired,married,secondary,15,no,no
yes,35,entrepreneur,married,secondary,204,yes,no
yes,41,bluecollar,single,primary,137,yes,yes
yes,54,services,married,secondary,0,yes,no
yes,52,bluecollar,divorced,primary,183,yes,no
yes,40,bluecollar,married,primary,0,yes,no
yes,58,technician,married,primary,247,no,no
yes,28,technician,single,secondary,1042,yes,no
yes,59,retired,married,primary,488,no,yes
yes,39,selfemployed,married,secondary,571,no,no
yes,23,technician,single,secondary,150,yes,yes
yes,53,retired,divorced,secondary,200,no,yes
yes,39,entrepreneur,married,secondary,0,no,no
yes,42,technician,married,secondary,197,yes,no
yes,36,management,divorced,tertiary,36,no,no
yes,56,services,married,secondary,8,no,no
yes,43,selfemployed,married,primary,385,no,no
yes,37,technician,single,secondary,56,yes,no
yes,46,bluecollar,married,primary,575,no,no
yes,39,bluecollar,single,secondary,0,yes,yes
yes,42,entrepreneur,married,primary,66,yes,yes
yes,57,admin,divorced,secondary,435,yes,yes
yes,46,unemployed,divorced,secondary,22,no,no
yes,54,management,married,primary,0,yes,yes
yes,30,selfemployed,married,tertiary,1083,yes,no
yes,39,technician,divorced,tertiary,3,no,no
yes,25,bluecollar,single,secondary,15,yes,no
yes,33,admin,divorced,secondary,18,yes,no
yes,33,services,married,secondary,2,no,no
yes,50,admin,divorced,secondary,2405,yes,no
yes,32,bluecollar,single,secondary,206,yes,no
yes,31,bluecollar,single,unknown,17,yes,no
yes,27,bluecollar,single,secondary,233,yes,no
yes,37,bluecollar,single,primary,21,no,no
yes,32,technician,single,secondary,92,yes,no
yes,33,bluecollar,married,primary,542,yes,no
yes,37,services,married,primary,483,yes,yes
yes,44,technician,married,unknown,375,yes,yes
yes,32,admin,married,secondary,166,yes,no
no,42,services,married,secondary,1263,yes,no
no,27,services,married,secondary,8,yes,no
no,48,admin,married,secondary,126,yes,yes
no,59,admin,married,secondary,230,yes,no
no,46,technician,married,tertiary,841,yes,no
no,38,admin,divorced,secondary,308,yes,no
no,43,management,divorced,tertiary,1,yes,no
no,38,admin,divorced,tertiary,86,yes,no
no,23,student,single,secondary,157,yes,no
no,34,services,married,secondary,22,yes,no
no,38,admin,married,secondary,46,yes,yes
no,37,bluecollar,married,secondary,1293,no,no
no,25,admin,single,secondary,122,yes,no
no,48,bluecollar,married,unknown,131,yes,no
no,49,bluecollar,single,secondary,143,yes,no
no,38,admin,single,secondary,393,no,no
no,43,bluecollar,married,primary,98,yes,no
no,33,management,married,tertiary,0,yes,no
no,55,bluecollar,married,secondary,224,yes,no
no,38,bluecollar,married,secondary,757,yes,no
no,49,services,married,secondary,245,yes,yes
no,40,management,married,secondary,8486,no,no
no,43,admin,married,unknown,350,no,no
no,38,bluecollar,married,secondary,20,yes,no
no,58,services,married,secondary,1667,yes,yes
no,57,technician,married,unknown,345,yes,no
no,32,unemployed,married,secondary,10,yes,no
no,56,management,married,tertiary,830,yes,yes
no,58,bluecollar,divorced,unknown,29,yes,no
no,60,retired,divorced,secondary,545,yes,no
no,37,technician,married,tertiary,8730,yes,no
no,46,technician,divorced,tertiary,477,yes,no
no,27,admin,married,secondary,4,yes,no
no,43,bluecollar,married,secondary,1205,yes,no
no,32,technician,single,secondary,0,yes,yes
no,40,admin,single,secondary,263,yes,no
no,38,admin,married,secondary,1,no,no
no,34,bluecollar,married,secondary,283,no,yes
no,47,bluecollar,married,primary,206,yes,no
no,42,housemaid,married,primary,17,yes,no
no,48,technician,married,secondary,141,yes,yes
no,29,selfemployed,single,tertiary,16,yes,no
no,50,services,married,secondary,206,yes,no
no,52,technician,married,unknown,7,no,no
no,50,management,married,tertiary,0,no,no
no,58,retired,married,tertiary,0,no,no
no,46,bluecollar,divorced,primary,1927,yes,no
no,38,technician,married,secondary,284,yes,no
no,46,bluecollar,married,secondary,1660,yes,no
no,32,services,single,secondary,406,yes,no
no,51,bluecollar,married,primary,230,yes,no
no,39,admin,single,secondary,25,yes,no
no,48,admin,married,secondary,182,yes,no
no,36,entrepreneur,married,tertiary,1169,yes,no
no,34,admin,divorced,secondary,67,yes,no
no,40,technician,married,secondary,77,no,no
no,43,unemployed,married,secondary,0,yes,no
no,52,bluecollar,divorced,primary,55,yes,yes
no,49,management,single,tertiary,163,yes,no
no,32,management,single,tertiary,151,yes,no
no,39,admin,single,secondary,113,yes,no
no,40,bluecollar,married,secondary,0,yes,no
no,38,technician,single,tertiary,9,yes,no
no,43,management,married,secondary,375,yes,no
no,39,services,married,secondary,1142,yes,no
no,54,bluecollar,married,primary,2102,yes,no
no,38,technician,single,tertiary,4325,yes,no
no,40,bluecollar,married,secondary,217,yes,no
no,55,admin,married,secondary,131,yes,no
no,42,management,married,tertiary,1680,yes,no
no,39,bluecollar,married,secondary,0,yes,no
no,40,bluecollar,married,primary,46,yes,no
no,32,bluecollar,married,secondary,320,yes,no
no,55,admin,married,secondary,183,yes,no
no,45,bluecollar,married,secondary,39,no,no
no,35,management,single,tertiary,560,yes,no
no,58,technician,divorced,secondary,469,no,no
no,35,admin,married,secondary,530,yes,no
no,49,services,married,primary,61,yes,no
no,34,technician,single,tertiary,242,yes,no
no,36,bluecollar,married,secondary,139,yes,no
no,24,selfemployed,single,secondary,0,yes,no
no,34,technician,married,secondary,367,yes,no
no,51,admin,divorced,secondary,228,yes,no
no,39,technician,single,unknown,45248,yes,no
no,50,selfemployed,married,unknown,84,yes,no
no,32,services,single,secondary,310,yes,no
no,42,bluecollar,married,unknown,132,yes,no
no,50,technician,married,secondary,797,yes,no
no,40,services,married,secondary,71,no,no
no,46,management,divorced,unknown,2,yes,no
no,37,management,married,tertiary,231,yes,yes
no,34,bluecollar,married,secondary,270,yes,yes
no,44,bluecollar,married,secondary,274,yes,yes
no,40,admin,single,secondary,109,yes,yes
no,37,technician,married,secondary,1,yes,no
no,35,bluecollar,married,secondary,89,yes,no
no,58,bluecollar,divorced,secondary,11,no,no
no,39,bluecollar,married,primary,0,yes,no
no,43,bluecollar,married,secondary,509,yes,no
no,39,unemployed,married,primary,408,yes,no
no,36,services,single,primary,58,yes,no
no,57,retired,single,secondary,1640,no,yes
no,36,admin,single,secondary,20,yes,no
no,50,bluecollar,married,primary,71,yes,no
no,55,bluecollar,married,secondary,52,yes,no
no,44,selfemployed,married,tertiary,292,yes,no
no,44,services,divorced,secondary,424,yes,no
no,39,housemaid,single,primary,109,yes,no
no,46,bluecollar,married,unknown,1044,yes,no
no,39,bluecollar,married,secondary,983,yes,no
no,34,admin,married,secondary,869,no,no
no,40,bluecollar,married,primary,668,yes,no
no,50,management,married,tertiary,964,yes,no
no,31,management,single,secondary,301,yes,no
no,37,admin,single,secondary,140,yes,no
no,39,management,single,secondary,1877,yes,no
no,51,bluecollar,married,primary,1127,yes,no
no,41,technician,married,secondary,871,yes,no
no,41,technician,married,secondary,767,yes,yes
no,43,bluecollar,married,secondary,0,no,no
no,30,services,single,secondary,209,yes,no
no,54,management,divorced,primary,0,no,no
no,43,bluecollar,divorced,secondary,110,yes,yes
no,59,management,divorced,tertiary,76,yes,yes
no,47,technician,married,unknown,178,yes,no
no,40,bluecollar,married,primary,66,yes,no
no,32,technician,married,secondary,0,yes,no
no,29,bluecollar,married,secondary,1,yes,no
no,36,bluecollar,married,secondary,0,yes,no
no,55,unemployed,married,tertiary,5345,no,no
no,30,bluecollar,divorced,secondary,209,yes,no
no,39,admin,single,secondary,0,yes,no
no,39,bluecollar,divorced,secondary,42,yes,no
no,50,bluecollar,divorced,secondary,41,yes,no
no,44,bluecollar,married,secondary,99,yes,no
no,37,technician,single,secondary,17,yes,no
no,46,admin,married,primary,276,yes,yes
no,32,technician,single,unknown,170,no,no
no,37,management,single,tertiary,230,yes,yes
no,29,bluecollar,married,secondary,9,yes,no
no,41,bluecollar,married,secondary,946,yes,no
no,45,bluecollar,married,primary,1297,yes,no
no,57,retired,divorced,secondary,331,yes,no
no,48,bluecollar,single,secondary,44,yes,no
no,26,admin,single,secondary,712,yes,no
no,58,retired,married,secondary,5435,yes,no
no,34,admin,married,secondary,507,yes,no
no,55,unemployed,divorced,secondary,387,yes,no
no,41,bluecollar,married,primary,0,yes,yes
no,50,management,divorced,secondary,1716,yes,no
no,49,entrepreneur,married,secondary,167,yes,yes
no,44,admin,married,unknown,40,no,yes
no,44,bluecollar,married,primary,148,yes,no
no,31,technician,married,secondary,17,yes,yes
